file,column,expected,actual,nullable_expected,actual_has_nulls,pass
olist_customers_dataset.parquet,customer_id,string,string,False,False,True
olist_customers_dataset.parquet,customer_unique_id,string,string,False,False,True
olist_customers_dataset.parquet,customer_zip_code_prefix,string,string,False,False,True
olist_customers_dataset.parquet,customer_city,string,string,False,False,True
olist_customers_dataset.parquet,customer_state,string,string,False,False,True
olist_sellers_dataset.parquet,seller_id,string,string,False,False,True
olist_sellers_dataset.parquet,seller_zip_code_prefix,string,string,False,False,True
olist_sellers_dataset.parquet,seller_city,string,string,False,False,True
olist_sellers_dataset.parquet,seller_state,string,string,False,False,True
olist_products_dataset.parquet,product_id,string,string,False,False,True
olist_products_dataset.parquet,product_category_name,string,string,True,True,True
olist_products_dataset.parquet,product_name_length,numeric,numeric,True,True,True
olist_products_dataset.parquet,product_description_length,numeric,numeric,True,True,True
olist_products_dataset.parquet,product_photos_qty,numeric,numeric,True,True,True
olist_products_dataset.parquet,product_weight_g,numeric,numeric,True,True,True
olist_products_dataset.parquet,product_length_cm,numeric,numeric,True,True,True
olist_products_dataset.parquet,product_height_cm,numeric,numeric,True,True,True
olist_products_dataset.parquet,product_width_cm,numeric,numeric,True,True,True
product_category_name_translation.parquet,product_category_name,string,string,False,False,True
product_category_name_translation.parquet,product_category_name_english,string,string,False,False,True
olist_geolocation_dataset.parquet,geolocation_zip_code_prefix,string,string,False,False,True
olist_geolocation_dataset.parquet,geolocation_lat,numeric,numeric,False,False,True
olist_geolocation_dataset.parquet,geolocation_lng,numeric,numeric,False,False,True
olist_geolocation_dataset.parquet,geolocation_city,string,string,False,False,True
olist_geolocation_dataset.parquet,geolocation_state,string,string,False,False,True
olist_orders_dataset.parquet,order_id,string,string,False,False,True
olist_orders_dataset.parquet,customer_id,string,string,False,False,True
olist_orders_dataset.parquet,order_status,string,string,False,False,True
olist_orders_dataset.parquet,order_purchase_timestamp,datetime,datetime,False,False,True
olist_orders_dataset.parquet,order_approved_at,datetime,datetime,True,True,True
olist_orders_dataset.parquet,order_delivered_carrier_date,datetime,datetime,True,True,True
olist_orders_dataset.parquet,order_delivered_customer_date,datetime,datetime,True,True,True
olist_orders_dataset.parquet,order_estimated_delivery_date,datetime,datetime,False,False,True
olist_order_items_dataset.parquet,order_id,string,string,False,False,True
olist_order_items_dataset.parquet,order_item_id,numeric,numeric,False,False,True
olist_order_items_dataset.parquet,product_id,string,string,False,False,True
olist_order_items_dataset.parquet,seller_id,string,string,False,False,True
olist_order_items_dataset.parquet,shipping_limit_date,datetime,datetime,False,False,True
olist_order_items_dataset.parquet,price,numeric,numeric,False,False,True
olist_order_items_dataset.parquet,freight_value,numeric,numeric,False,False,True
olist_order_payments_dataset.parquet,order_id,string,string,False,False,True
olist_order_payments_dataset.parquet,payment_sequential,numeric,numeric,False,False,True
olist_order_payments_dataset.parquet,payment_type,string,string,False,False,True
olist_order_payments_dataset.parquet,payment_installments,numeric,numeric,False,False,True
olist_order_payments_dataset.parquet,payment_value,numeric,numeric,False,False,True
olist_order_reviews_dataset.parquet,review_id,string,string,False,False,True
olist_order_reviews_dataset.parquet,order_id,string,string,False,False,True
olist_order_reviews_dataset.parquet,review_score,numeric,numeric,False,False,True
olist_order_reviews_dataset.parquet,review_comment_title,string,string,True,True,True
olist_order_reviews_dataset.parquet,review_comment_message,string,string,True,True,True
olist_order_reviews_dataset.parquet,review_creation_date,datetime,datetime,False,False,True
olist_order_reviews_dataset.parquet,review_answer_timestamp,datetime,datetime,False,False,True
